question_num,expert1_bloom,expert1_subject,expert1_persian,expert2_bloom,expert2_subject,expert2_persian,expert3_bloom,expert3_subject,expert3_persian,expert4_bloom,expert4_subject,expert4_persian,expert5_bloom,expert5_subject,expert5_persian,bloom_level,llm
38,5,5,2,4,2,5,4,5,5,2,4,4,2,4,2,2,4
39,5,5,4,4,3,5,5,4,5,4,4,4,4,4,4,3,1
39,5,5,4,4,3,5,5,4,5,4,4,4,4,4,4,3,2
39,5,5,4,4,3,5,5,4,5,4,4,4,4,4,4,3,3
40,5,5,4,4,3,5,5,5,5,4,4,4,4,4,3,3,1
40,5,5,4,4,3,5,5,5,5,4,4,4,4,4,3,3,2
40,5,5,4,4,3,5,5,5,5,4,4,4,4,4,3,3,3
41,5,5,3,3,2,2,4,5,5,4,4,4,4,3,2,3,1
41,5,5,3,3,2,2,4,5,5,4,4,4,4,3,2,3,2
41,5,5,3,3,2,2,4,5,5,4,4,4,4,3,2,3,3
42,5,5,4,4,4,5,5,5,5,4,4,4,4,3,3,3,1
42,5,5,4,4,4,5,5,5,5,4,4,4,4,3,3,3,2
43,5,5,5,4,3,5,5,5,5,4,4,4,4,4,4,3,1
43,5,5,5,4,3,5,5,5,5,4,4,4,4,4,4,3,2
44,5,5,5,3,3,5,5,5,5,4,4,4,4,4,4,3,2
44,5,5,5,3,3,5,5,5,5,4,4,4,4,4,4,3,3
45,5,5,4,4,3,5,5,5,5,4,3,2,4,4,2,3,2
45,5,5,4,4,3,5,5,5,5,4,3,2,4,4,2,3,3
46,5,5,5,4,3,5,5,5,5,4,4,4,4,4,3,3,1
47,2,5,5,2,2,5,3,5,5,4,4,4,2,4,3,3,1
48,5,5,5,3,3,3,5,5,5,4,3,4,4,4,4,3,1
49,5,5,5,4,3,5,5,5,5,4,4,3,4,4,3,3,1
50,2,5,5,4,5,5,5,5,5,2,4,4,2,4,4,3,2
51,2,5,5,2,2,5,5,5,4,4,4,4,3,4,3,3,2
52,5,5,5,4,3,5,5,5,5,4,4,4,4,4,4,3,3
53,5,5,5,4,3,5,5,5,5,4,4,4,3,4,4,3,3
54,5,5,5,3,3,3,5,5,5,4,4,4,2,4,4,3,3
55,4,5,5,4,3,5,5,5,5,4,3,2,2,4,3,3,3
56,5,5,1,2,3,1,5,5,3,4,3,1,4,4,2,3,4
57,2,5,1,3,2,5,5,5,4,4,4,4,2,4,2,3,4
58,2,5,1,2,2,3,5,5,5,4,4,4,2,4,4,3,4
59,5,5,5,4,4,4,5,5,5,4,4,4,4,3,2,4,1
59,5,5,5,4,4,4,5,5,5,4,4,4,4,3,2,4,2
60,5,5,5,4,3,4,5,5,5,4,3,2,3,3,3,4,1
60,5,5,5,4,3,4,5,5,5,4,3,2,3,3,3,4,2
61,5,5,5,5,4,5,5,5,5,4,3,3,4,4,4,4,1
61,5,5,5,5,4,5,5,5,5,4,3,3,4,4,4,4,2
62,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,1
62,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3
63,5,5,5,3,3,5,4,5,5,4,4,4,2,3,4,4,2
63,5,5,5,3,3,5,4,5,5,4,4,4,2,3,4,4,3
64,5,5,5,4,3,5,5,5,5,4,4,4,2,3,4,4,2
64,5,5,5,4,3,5,5,5,5,4,4,4,2,3,4,4,3
65,5,5,5,3,4,4,5,5,5,4,4,2,2,3,4,4,1
66,5,5,5,4,4,5,5,5,5,4,4,4,4,4,4,4,1
67,5,5,5,3,4,5,5,5,5,4,4,4,2,4,4,4,1
68,5,5,5,5,5,5,5,5,5,4,3,3,4,4,4,4,1
69,5,5,5,3,2,4,4,4,5,4,3,3,3,3,3,4,1
70,5,5,5,4,3,5,5,5,5,4,3,4,3,3,3,4,2
71,5,5,5,3,3,5,5,5,5,4,3,2,3,4,4,4,2
72,5,5,5,3,3,4,5,5,5,4,3,4,4,4,4,4,2
73,4,3,5,2,2,5,4,5,5,4,4,4,2,4,4,4,3
74,4,5,5,2,2,5,4,5,5,4,2,4,2,4,4,4,3
75,3,3,5,2,2,5,5,5,5,4,2,4,2,4,4,4,3
76,3,3,5,2,2,5,5,5,5,2,3,4,2,4,4,4,3
77,4,4,2,2,2,5,3,5,5,4,4,4,3,4,4,4,4
78,4,4,1,2,2,3,5,5,4,4,3,4,2,4,4,4,4
79,5,5,5,5,3,4,5,5,5,4,4,4,4,4,4,5,1
79,5,5,5,5,3,4,5,5,5,4,4,4,4,4,4,5,2
79,5,5,5,5,3,4,5,5,5,4,4,4,4,4,4,5,3
80,5,5,5,2,3,5,5,5,5,4,4,3,3,3,4,5,1
80,5,5,5,2,3,5,5,5,5,4,4,3,3,3,4,5,2
80,5,5,5,2,3,5,5,5,5,4,4,3,3,3,4,5,3
81,5,5,5,3,1,4,4,5,5,4,3,3,2,4,4,5,1
81,5,5,5,3,1,4,4,5,5,4,3,3,2,4,4,5,2
82,5,5,5,5,3,5,5,5,5,2,2,2,4,4,4,5,1
82,5,5,5,5,3,5,5,5,5,2,2,2,4,4,4,5,2
83,5,5,5,4,5,5,5,5,5,3,3,2,2,4,4,5,1
83,5,5,5,4,5,5,5,5,5,3,3,2,2,4,4,5,3
84,5,5,5,4,3,5,4,5,5,4,4,3,2,4,4,5,1
84,5,5,5,4,3,5,4,5,5,4,4,3,2,4,4,5,3
85,5,5,5,5,4,5,5,5,5,2,4,4,2,2,4,5,2
85,5,5,5,5,4,5,5,5,5,2,4,4,2,2,4,5,3
86,2,5,5,5,3,5,5,5,5,2,3,3,3,4,4,5,1
87,2,5,5,5,4,5,4,5,5,2,4,4,3,4,4,5,1
88,3,5,5,5,3,4,4,5,5,4,4,4,3,4,4,5,1
89,3,5,5,4,3,4,5,5,5,4,4,4,3,4,4,5,1
90,4,5,5,4,4,4,5,5,5,4,3,3,4,3,4,5,2
91,4,4,5,4,4,5,5,5,5,2,3,3,4,4,4,5,2
92,3,4,5,2,2,2,3,4,5,2,2,2,2,4,4,5,2
93,2,5,5,3,2,3,3,5,5,2,3,3,2,4,4,5,2
94,3,5,5,4,3,5,4,5,5,2,4,4,2,3,4,5,2
95,5,5,5,3,2,3,4,5,5,2,3,3,2,4,4,5,2
96,2,5,5,3,2,5,3,5,5,2,3,4,2,4,4,5,3
97,2,4,5,4,2,5,4,5,5,2,3,4,2,4,4,5,3
98,3,4,5,2,3,4,5,5,5,2,3,4,2,4,4,5,3
99,4,4,1,1,2,1,3,5,3,4,2,2,2,3,2,5,4
100,3,4,2,1,1,3,4,5,5,4,3,3,2,4,3,5,4
101,2,4,2,2,1,3,4,5,4,2,3,4,3,3,3,5,4
102,5,5,4,3,3,4,5,5,5,4,4,4,3,3,3,6,1
102,5,5,4,3,3,4,5,5,5,4,4,4,3,3,3,6,2
102,5,5,4,3,3,4,5,5,5,4,4,4,3,3,3,6,3
103,5,5,5,4,2,5,5,5,5,2,4,4,3,3,3,6,1
103,5,5,5,4,2,5,5,5,5,2,4,4,3,3,3,6,2
103,5,5,5,4,2,5,5,5,5,2,4,4,3,3,3,6,3
104,4,5,5,3,3,2,5,5,4,4,4,4,4,4,4,6,1
104,4,5,5,3,3,2,5,5,4,4,4,4,4,4,4,6,2
104,4,5,5,3,3,2,5,5,4,4,4,4,4,4,4,6,3
105,2,5,5,2,3,5,5,4,5,4,4,4,3,4,4,6,2
105,2,5,5,2,3,5,5,4,5,4,4,4,3,4,4,6,3
106,5,5,5,2,3,4,5,5,5,4,3,3,4,4,4,6,1
107,5,5,5,1,1,3,3,5,5,4,3,3,4,4,4,6,1
108,2,5,4,1,2,3,3,5,5,4,3,4,3,4,4,6,1
109,2,4,5,1,3,4,3,5,5,2,2,3,2,4,4,6,1
110,2,4,5,3,4,5,3,5,5,2,3,4,4,4,4,6,1
111,5,5,5,4,3,5,4,5,5,5,4,4,4,4,4,6,1
112,2,4,5,2,3,4,2,5,5,2,3,4,3,4,4,6,1
113,2,4,5,1,4,5,3,5,5,2,3,4,3,4,4,6,1
114,2,4,5,1,3,4,4,5,5,2,4,3,3,4,4,6,1
115,5,5,5,3,2,1,5,5,4,2,2,4,3,4,4,6,2
116,5,5,5,4,2,4,4,5,5,4,4,4,3,4,4,6,2
117,5,5,5,4,2,4,5,5,5,4,4,4,3,4,4,6,3
118,5,3,5,3,2,5,5,5,5,2,4,4,4,4,4,6,3
119,2,4,5,2,4,4,5,5,5,2,4,4,3,4,4,6,3
120,2,4,1,1,1,1,5,5,4,2,3,2,2,3,2,6,4
121,3,2,1,2,1,1,4,5,4,5,4,4,4,4,2,6,4
122,2,4,1,2,2,2,3,5,4,5,4,4,2,3,2,6,4
